course,institution,url,admission req,language req,deadline
"Joint Doctor of Philosophy (PhD) in Integrated Management of Water, Soil and Waste",Dresden University of Technology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4534/,"Applicants are required to have basic knowledge in undergraduate level physics, chemistry and mathematics, with a Bachelor's degree in one of the following fields:
engineering
	natural sciences
	social sciences
	or closely related field

All applicants are also required to have a research-based Master's degree related to environmental resources management. Experience related to the Resource Nexus will be considered an asset.
Important note: The applicant needs a final grade (in the Master's) of 2.5 or better (German grading system) to meet the minimum requirement of a successful application.
UNU is committed to diversity and inclusion within its workforce and encourages all candidates, regardless of gender, nationality, religious and ethnic backgrounds, including persons living with disabilities, to apply and become part of the organisation.","As the programme is offered in English, applicants who are not native English speakers have to demonstrate proficiency in English. Recognised tests are as follows:
IELTS: required level is 7.0
	TOEFL: required level for paper-based test is 600 points and internet-based test is 100 points

If the medium of instruction of previous university degrees is English, supporting evidence will be required.",Please see https://flores.unu.edu/en/education/phd-programme for current information.
Joint Research Academy in Biomedical Engineering and Science of Hearing and Sensory Systems,Carl von Ossietzky University of Oldenburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4457/,"A Master's degree (or equivalent) in physics, biology, neuroscience, psychology, biomedical engineering, computer science or an equivalent subject is required.","English skills are ascertained during the interview process. Non-native English speakers can provide a certificate of at least CEFR level B2 (TOEFL or others) as additional information. As an alternative, a supervisor's confirmation of English skills can be provided.",Applications are possible at any time. Enrolment will be on 1 April or 1 October each year.
"Konrad Zuse School of Excellence in Reliable Artificial Intelligence, relAI",Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9579/,"Excellent Master's degree in computer science, mathematics, engineering, natural sciences or other data science/machine learning/AI related disciplines",English C1 or equivalent,"January, please see website for exact date"
Konstanz Research School Chemical Biology (KoRS-CB),University of Konstanz,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4039/,"Master's degree (or equivalent) in biology, chemistry, life science, or related subjects; marks significantly above average and a proven interest in chemical biology (as indicated in the applicant's academic record)
For outstanding Master's students of the courses at the Departments of Biology and Chemistry at the University of Konstanz, this doctoral programme provides the possibility to enrol via the ""Konstanz Fast Track"" system.",Applicants must provide proof of their proficiency in English.,No deadline
"Mainz Research School of Translational Biomedicine (TransMed), International PhD Programme in Life Sciences",Johannes Gutenberg University Mainz,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4647/,"For natural sciences graduates:
Master's degree or equivalent
For medical graduates:
German state examination","Applicants must provide proof of their English skills. The reference for the required level is a TOEFL iBT test passed with at least 60 points (or the IELTS test with level B1).
For MD/PhD candidates (working as physicians): a good command of the German language is required.","For PhD and MD/PhD in Translational Biomedicine, see:
PhD-MD/PhD in Translational Biomedicine – Mainz Research School of Translational Biomedicine
For Dr rer nat:
any time"
MArburg University Research Academy (MARA),Philipps-Universität Marburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5258/,N/A,N/A,N/A
MD/PhD Programme: Molecular Medicine,Hannover Medical School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3966/,"Master's degree, German Diploma (""Diplom""), or Dr med","Excellent English language skills required, preferably TOEFL or other tests",1 March for intake in October
"Minds, Media, Machines Integrated Graduate School (MMMIGS)",University of Bremen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7738/,N/A,N/A,N/A
Munich Graduate School of Economics (MGSE),Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3767/,"The standard entry requirement is a completed Master's degree in economics. We expect knowledge in microeconomics, macroeconomics, and econometrics at an advanced Master's level.
Exceptions from this rule are possible in special circumstances. In these cases, any missing graduate-level training will be specified in an individual supervision agreement, with suitable courses to be chosen from the department's Master's programme economics.",Applicants must provide proof of their English skills.,Will be announced on webpage: https://www.mgse.econ.uni-muenchen.de/application/index.html
Nanosciences,Osnabrück University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3610/,"Master's degree (or equivalent) in physics, chemistry, biology, materials science or equivalent","Good knowledge of English is a mandatory prerequisite to carry out research work and participate in lectures, seminars, colloquiums and discussion groups.
German language skills are helpful. German language courses are offered at various levels.","15 January for the summer semester and 15 July for the winter semester
Please apply directly at the International Graduate School of Science."
Neuroscience (International Graduate School) (IGSN),Ruhr-Universität Bochum,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3851/,"Master of Science or German Diplom, preferably in biology, chemistry/biochemistry, psychology, medicine, physics, engineering, or informatics
	neuroscientific knowledge and interest in an interdisciplinary research and study programme of the International Graduate School of Neuroscience

Applicants are selected by an entrance exam and an interview which usually includes an oral presentation of the research performed in the course of the Master's thesis.
For the BSc-PhD programme, applicants must hold a Bachelor's or equivalent degree in biology, chemistry, electrical engineering, mathematics, medicine, psychology, or other related fields and have completed an experimental thesis.",Fluent English (oral and written),End of January
PAG – PhD Programme in Agricultural Science,University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3668/,"Academic admission requirements include an outstanding Master of Science (MSc) degree or its equivalent in agriculture, biology, geography, or related fields. To apply, students need to find a professor at the University of Göttingen who is willing to supervise their research. Applications are processed through the online application portal.http://www.uni-goettingen.de/en/application-and-enrolment/532016.html",Applicants whose native language is not English are asked to submit proof of proficiency in English (e.g. TOEFL: iBT at least 81 points; IELTS: band 6; or Cambridge English Scale: min. 160 points). Proven higher education in English or a reasonably long stay in an English-speaking country may also be accepted.,No application deadline
PhD Animal and Zoonotic Infections,University of Veterinary Medicine Hannover,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10329/,"Applicants for the PhD programme must have successfully completed a university course of study in veterinary medicine, medicine, dental medicine (state examination), biology, biochemistry, chemistry or in another field of biosciences (diploma, Master's). A corresponding degree from a non-German university can be recognised by the PhD Commission as equivalent to a German degree.
All applicants should provide evidence of outstanding academic achievement. Their curriculum vitae should reflect their particular skills and motivation.","Applicants must provide proof of their English skills (university level). Complete written and spoken fluency in the English language is essential. Fluency in German is an advantage, but not necessary.","1 September
The programme officially starts in the winter semester, but application and enrolment is also possible in the summer semester."
PhD Genomic and Molecular Medicine - Personalised Approaches to Childhood Health,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6398/,"Master's degree or equivalent in medicine, natural science, life sciences or other relevant field
	Very good academic record
	Motivation letter specifying the area of your research interest
	Proficiency in English
","CEFR level of B2
	IELTS (score between 5.0 and 6.5)
	TOEFL (score between 87 and 109)
",The application period is from 1 December to 31 January.
PhD in Computer Science,RPTU University of Kaiserslautern-Landau,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3819/,"Excellent Bachelor's or Master's degree (in computer science or a related discipline)
The GRE test is strongly recommended.","No knowledge of German is required. However, we recommend that students attend basic German courses offered by the university.
A good knowledge of English is required for admission to the study programme. You must prove your English language skills as follows:
TOEFL test: 550 points (paper-based) / 213 points (computer-based) / 80 points (Internet-based)
	and/or IELTS: 6.0 points

(This does not apply if your prior education was in English.)","15 June for the following winter semester and 15 December for the following summer semester
If you have the support (including funding or external funding) of a department member with PhD supervision rights, you may be forwarded for direct admission. In this case, you can submit your application at any time.
https://phd.cs.rptu.de"
PhD in International Development Studies (PhD IDS),Ruhr-Universität Bochum,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8367/,"Above-average advanced degree in human geography, law, social or political science, economics, development management or related subjects:
qualified university degree (Master's or equivalent) with an overall grade equivalent to 2.7 (fully satisfactory) according to the German grading system after completion of relevant studies with a duration of at least four years, or
	qualified degree with an overall grade equivalent to 1.3 (very good) according to the German grading system after completion of relevant studies with a duration of at least three years plus preparatory studies for the PhD of usually three semesters

For international degrees, the equivalence will be judged during the application process. Candidates who have to follow preparatory studies before admission to the PhD in International Development Studies can be accepted for such preparatory studies at the Ruhr-Universität Bochum. Applicants must submit a research proposal (five pages maximum). Guidelines for writing the research proposal are available for download on the website of the institute.","Official certificate confirming applicant's English language proficiency equivalent to CEFR level C1 (e.g. IELTS band 7 or TOEFL iBT 94 or above, Duolingo 125 or above)
If English has been your language of instruction since your secondary education, a proof of your English language proficiency is not compulsory, but it is nonetheless recommended.",Application deadline for the following winter semester is 31 March. Please refer to our website for details.
PhD in Neuroscience – International Max Planck Research School (IMPRS) for Brain and Behaviour,The Max Planck Institute for Neurobiology of Behavior – caesar,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5335/,"You can apply if you meet the following requirements:
Master’s degree (or equivalent) in any relevant field (life sciences, mathematics, physics, computer science, engineering, etc.)
	Fluency in written and spoken English
	Strong motivation to pursue a PhD degree

Note: The right to confer degrees remains with the University of Bonn, and you must meet all the admission and degree requirements of the faculty where you choose to study.
We are committed to diversity and equal opportunity for all applicants.",Fluency in written and spoken English is an admission requirement. Non-native English speakers can provide copies of English proficiency test results or an official letter from their university ensuring that the medium of instruction is English. Language skills will be assessed during the interviews in the event that official test results have not been provided.,"The application period starts in autumn 2025. Please apply online. Applications must be submitted by 1 November.
Exceptional candidates will be invited to an online selection symposium in February 2026. Successful candidates will have the option to come to Bonn for an on-site visit to meet with faculty members and current IMPRS PhD students. Following the online selection symposium, admitted PhD students can start at any time between March and October."
PhD Medical Research in Epidemiology and Public Health,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5296/,"Master's degree or equivalent in public health, epidemiology, medicine, pharmacy, natural sciences, psychology, social sciences, statistics, economics, sport sciences, law, communication science or other relevant field (to be obtained not later than five months after the application deadline)
	Very good academic record
	Proficiency in English (written and oral)
	Good mathematical and statistical skills
","English language proficiency with a minimum of the following:
EU level of B2, or
	IELTS score between 5.0 to 6.5 (whereas 5.0 is the border between EU level B1 and B2), or
	TOEFL score between 87 and 109

Exemption of German language skills",31 January for the following winter semester
PhD Medical Research – Cardiovascular Science,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9644/,"To apply for the PhD Medical Research – Cardiovascular Science, the following requirements must be met by all applicants:
Qualifying degree in medicine, veterinary medicine, life sciences, pharmacy, health sciences or a related discipline, encompassing a minimum of 240 ECTS (in most cases this corresponds to 8 semesters)
	Proof of English proficiency
	Very good academic record
	Strong scientific motivation, to be shown by the letter of motivation
	Full Research Proposal including sufficient funding
	Contact details of two academic referees

For detailed information, please see our website.  ","Applicants are required to fully understand and fluently communicate in written as well as spoken English. One of the following is required:
EU level of B2
	IELTS score of 5 – 6.5 (5 is borderline between EU level B1 and B2)
	TOEFL score 87 or more

Alternatively, diplomas of high school or university education with English as the major teaching language may be considered after individual assessment. If you are a native speaker, proof of English is not required.","Applications for the PhD Medical Research – Cardiovascular Science are accepted once annually. The application period runs from 1 December to 31 January of the following year.
All applications must be submitted via the online application portal of the Munich Medical Research School (MMRS)."
PhD Medical Research – International Health,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4133/,"Minimum requirements are either a university degree in medicine or a Master's degree in an appropriate health-related subject. As is customary in a programme with international candidates, fulfilment of entry requirements must be assessed individually.","Proof of English proficiency is required (TOEFL minimum 550 or IELTS 6.0). Alternatively, diplomas of high school or university education with English as the major teaching language may be considered after individual assessment. If you are a native speaker, proof of English is not required.",The application period for the PhD Medical Research - International Health programme is from 1 December until 31 January. Please check our website regularly: https://www.cih.lmu.de/education/study-programs/phd-program/application
PhD Oral Sciences,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7045/,"In order to apply for the PhD programme, the following core requirements must be met and documents must be submitted:
A degree in a course of study lasting at least eight semesters in medicine, veterinary medicine, natural sciences, pharmacy, health sciences or a related subject
","Before beginning your studies as a student at LMU, you are required to have reached level B2 of English according to the ""Common European Framework of Reference for Languages"".
Applicants who received their qualifying degree from a country in which English is not the primary language must present evidence of proficiency in English. One of the following tests is acceptable: TOEFL, IELTS or Cambridge.",The deadline for the application is 31 January every year.
PhD Programme Auditory Sciences,Hannover Medical School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6382/,"Master's degree, German ""Diplom"" or Dr med","Excellent English language skills are required, preferably proven by results from the TOEFL or other tests.",You can apply any time.
PhD Programme in Biomedical Data Science,Hannover Medical School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7649/,"BIOMEDAS is addressed to students who are interested in combining disciplinary knowledge with skills in biomedical data science. These can be either computer scientists or life scientists who already have a training in bioinformatics and are interested in developing their career in biomedical data science.
In order to be registered to the PhD programme, a successfully completed university degree in computer science related fields (e.g. medical computer science, bioinformatics, physics, engineering, computer science, statistics, mathematics) or in health science related fields (e.g. medicine, veterinary medicine, pharmacy, life sciences) is mandatory. Applicants from the field of computer science have to demonstrate an adequate understanding of biomedical research, while applicants from the field of health sciences have to demonstrate competence in data science. The proof must be submitted to the programme commission, which may propose further qualification measures in consultation with the supervisor.",Excellent English,biomedas@twincore.de 
PhD Programme in Computer Science (PCS),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4073/,"At least eight semesters of study of computer science with completion of a consecutive Master's degree programme comprising at least 240 ECTS credits or an equivalent qualification (""Diplom"", Master of Science, Master of Arts, state examinations) in a study programme at a German university or at a university belonging to one of the Bologna signatory states, or successful completion of another study programme closely related to computer science (technical relevance)","There are no language requirements, but IELTS, Cambridge Main Suite or TOEFL are recommended.",Any time
PhD Programme in Data Science (PDS),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10448/,"Successful completion of a qualifying Master's programme comprising at least 240 ECTS or an equivalent qualification (e.g. ""Diplom"", Master of Science, Master of Arts, state examinations) with relation to data science (for example, but not limited to, data science, machine learning, statistics, computer science, mathematics, etc.)
	acceptance by a PhD supervisor with examination admission for PDS and formation of a thesis committee comprising two additional members (a list of potential PDS supervisors is available from https://www.uni-goettingen.de/en/577092.html; choose “Data Science” as the programme in the drop-down menu.)
","There are no language requirements, but IELTS, Cambridge Main Suite or TOEFL are recommended.",Any time
PhD Programme in Epidemiology,Hannover Medical School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4786/,"University degree (Master's degree or equivalent) in the area of medicine, dentistry, veterinary medicine, pharmacy, natural science, or in another subject area with a biomedical or health-relevant focus 
	The degree must entitle the applicant to pursue PhD studies in Germany. (Verification for this is carried out by an official authority, and this is initiated by the office of the Epidemiology PhD programme.)
	Applicants are required to have knowledge and prior experience in the area of epidemiological methods and statistics equivalent to that which may be gained in a degree programme like MSE, MSc Epidemiology, MPH, or MSAE. In individual cases, when such a formal degree is lacking, successfully passed courses in the field of statistics and epidemiology with 120 contact hours and/or 10 ECTS can also be acknowledged.
",Excellent English language skills required: Fluent written and spoken English is a prerequisite of being accepted to the programme.,Will be provided by HZI/PhD Programme Office
PhD Programme in Mathematical Sciences,University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3941/,"Excellent Master's degree in mathematics or physics
Students of a university of applied sciences or ""Berufsakademie"" and exceptionally qualified holders of a Bachelor's degree may also apply. They may have to go through a two-semester qualification period before they can eventually be admitted into our doctoral programme.",English proficiency at level C1 or higher (e.g. IELTS band 7.0 or TOEFL iBT 94),Applications may be submitted at any time
PhD Programme in Medical Life Science and Technology,Technical University of Munich,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9781/,"Two types of candidates with a strong academic record and a keen interest in scientific research can apply for the PhD programme:
external candidates, looking for a research group at TUM or affiliated institutions
	internal candidates, already working in one of the TUM research groups or affiliated institutions

Both external and internal applicants must hold one of the following degrees to enter the programme:
Entry level with an MSc: Applicants must hold an MSc or equivalent degree in medicine, biology, engineering, psychology or related subjects.
	Entry level for TUM medical students: Applicants must pass the first part of the ""Ärztliche Prüfung"" prior to their application. Once they are admitted to the programme, these students can complete both their MD and PhD.
	Entry level for TUM Master's students: Applicants who have successfully completed their Bachelor's degree in Germany and are currently enrolled in a Master's programme at TUM may also apply. In order to be admitted to the programme, these candidates must prove successful completion of their Master's degree within one year.
","If the applicant’s native language is not English, proof of English proficiency must be provided in one of the following forms:
A completed degree in an English-medium educational system (official confirmation required)
	A TOEFL score (minimum 88/120)
	An IELTS Academic score (minimum 6.5/9)
	A Cambridge certificate

An English level of C1 of the European Framework of Reference for Languages (CEFR) is the minimum language requirement to apply to the PhD programme.",The application platform is open from 15 April to 15 May. (Accepted candidates should start their research projects in October.) It is also open from 15 October to 15 November. (Accepted candidates should start their research projects in April.) Only online applications are accepted.
PhD Programme of the Faculties of Veterinary Medicine and Medicine,Justus Liebig University Giessen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6878/,"Master's degree or equivalent degree in medicine, veterinary medicine, dentistry, biology, chemistry, or similar natural science disciplines. A degree from abroad needs to be evaluated as ""comparable to a German degree"" –  following the Central Office for Foreign Education – ZAB)
	Excellent scores in a relevant degree examination from a German or foreign university
	Letter of consent from supervisor to supervise your doctoral project
","English competency can be proven by submitting results from one of the following tests: TOEFL, IELTS or CAE equivalent to minimum CEFR level B2.",15 July
"PhD Programme with Tracks in Accounting, Economics, Finance, or Marketing",Goethe University Frankfurt,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8544/,A Bachelor's or Master's degree is required. Click here for detailed information about the requirements.,"The exclusive language of all GSEFM degree programmes is English. Sufficiently strong English language skills may be documented in one of the following forms:
(i) A diploma/degree certificate from a secondary school with English as the official language of instruction (The secondary school must have been attended for at least two years.)
(ii) At least one year of successfully completed university-level studies in a degree programme being exclusively taught in the English language
(iii) Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS) scores; The minimum scores are as follows: TOEFL/iBT: 93; TOEFL/PBT: 580; IELTS: 7.0.
Test scores that are older than four years at the time of the deadline for the stage in which the complete application is submitted cannot be accepted.
The TOEFL-designated institution code for GSEFM is ""7276"".","Applications will be reviewed in three stages with the following deadlines:
31 January
31 March
31 May
Particularly strong candidates from the first two stages will receive a positive admissions decision within approximately six weeks of the deadline for the respective stage. Other applicants from these two stages will receive the admissions decision together with the applicants from stage three.
Applicants from the third stage will learn about a positive admissions decision by the middle of July. All applicants who could not be admitted will be duly informed once the admissions process has been completed.
GSEFM strongly encourages candidates to apply in stage one or stage two to have sufficient time for visa applications and other arrangements. Additionally, all financial aid for PhD programme students may be awarded during the first or second stage of the admissions process."
PhD Programme: Infection Biology (ZIB),Hannover Medical School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3967/,"Master's degree, German Diploma (""Diplom"") or Dr med","Excellent English: TOEFL 550 (paper-based), 213 (computer-based), 80 (internet-based) or equivalent",1 March for the following winter semester
PhD Programme: Regenerative Sciences (PhD RegSci),Hannover Medical School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3968/,"In order to be eligible for the programme, you need to hold a Master's degree or equivalent in life or natural sciences, human or veterinary medicine, or in an engineering discipline with a biomedical focus. Furthermore, you need to have wet-lab research experience, be highly motivated, and have a well-documented interest in regenerative sciences.","As the PhD programme in Regenerative Sciences is an international programme, English is the language of instruction. Therefore, an excellent command of English is absolutely necessary.
You can document your English proficiency either by completing a test such as TOEFL or IELTS or by demonstrating that you were already instructed in English at school or university. This documentation is waived for native speakers. Your fluency in English will be assessed during the interview.",1 March
PhD Systems Neuroscience,University of Veterinary Medicine Hannover,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10327/,"Applicants for the PhD programme must have successfully completed a university degree in veterinary medicine, medicine, dental medicine (state examination or Master's degree), biology, biochemistry, chemistry or in another field of the natural sciences (diploma, Master's degree). A corresponding degree from a non-German university in the above fields can be recognised by the PhD Commission as equivalent to a German degree. Successful completion of the first part of a Master's programme at one of the member establishments of the ZSN in Hannover can also be recognised by the PhD Commission as qualification for admittance to the programme if the student has shown outstanding performance in this part of the course and has been recommended by the Master's programme commission in question.
All applicants must provide evidence of outstanding academic achievement. The curriculum vitae must indicate the applicant's exceptional ability and motivation. The PhD Commission determines applicants' suitability for admission.","Applicants must provide proof of their English skills (university level). Complete written and spoken fluency in the English language is essential. Fluency in German is an advantage, but not necessary.","1 September
The programme officially starts in the winter semester, but application and enrolment is also possible in the summer semester."
PhD Veterinary Research and Animal Biology,University of Veterinary Medicine Hannover,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10326/,"Applicants for the PhD programme must have successfully completed a university course of study in veterinary medicine, medicine, dental medicine (state examination), biology, biochemistry, chemistry or in another field of biosciences (diploma, Master's). A corresponding degree from a non-German university can be recognised by the PhD Commission as equivalent to a German degree.
All applicants should provide evidence of outstanding academic achievement. Their curriculum vitae should reflect their particular skills and motivation.","Applicants must provide proof of their English skills (university level). Complete written and spoken fluency in the English language is essential. Fluency in German is an advantage, but not necessary.","1 September
The programme officially starts in the winter semester, but application and enrolment is also possible in the summer semester."
PhD/MD-PhD Programme – Experimental Medicine,University of Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6346/,"Graduation from medical school (German ""Staatsexamen Humanmedizin"" or ""Staatsexamen Zahnmedizin"" or equivalent degree) or a Master of Science or a German diploma degree in the life sciences and related disciplines (e.g. biomedical sciences, biology, biochemistry, physics, chemistry, psychology, computer sciences, engineering)
Acceptance by an authorised academic supervisor at the medical faculty, excellent academic grades in previous studies and some previous research experience are prerequisites.",Applicants must provide proof of English proficiency.,"Announced on the website
for the summer semester: 15 January
	for the winter semester: 15 June
"
Physics (PhD),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4810/,"1. Academic admission requirements include an excellent Master's degree in physics, mathematics, or other natural sciences.
If the degree was not awarded in Germany, eligibility will be assessed according to the guidelines of the Standing Conference of the Ministers of Education and Cultural Affairs of the federal states in the Federal Republic of Germany (documented at http://www.anabin.de). For the assessment of eligibility, the respective certificate should be submitted to the Dean's office of the Faculty of Physics.
2. Acceptance by an authorised supervisor
For further information, please visit our website: http://www.uni-goettingen.de/en/how-to-become-a-phd-student/501047.html","English or German native speakers: none
	other applicants without a previous degree taught in English: proof of proficiency in English (at a level equivalent to PBT TOEFL 550)

For further information, please visit our website: http://www.uni-goettingen.de/en/phd-physics/488933.html.","Application steps:
Decide on a research topic and contact potential supervisor
	Assemble a thesis advisory committee (TAC)
	Apply for admission (programme, supervision agreement)

https://www.uni-goettingen.de/en/577087.html"
Postgraduate International Programme in Physics and Electrical Engineering (PIP),University of Bremen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4191/,"Entrance requirement for doctorate:
University degree in the core subject (preferably, or a closely related speciality)
Level required:
in general: MSc or equivalent ( e.g., ""Diplom"", DEA)
	in exceptional circumstances: excellent BSc

The first step in the process of application for admission to the PhD programme at the Department of Physics and Electrical Engineering of the University of Bremen is to contact the head of the research group that matches your scientific interest. You can find a list of institutes with various research areas in Physics and Electrical Engineering on the website.
Please send your application directly to the professors working in a given research group.
If the research group is interested and a mutual agreement between you and the group is reached, you can join our postgraduate international programme.","English language proficiency requirements exceed level B2.
No formal test results needed for German language skills.",No application deadline
Regensburg International Graduate School of Life Sciences (RIGeL),University of Regensburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7737/,"Candidates applying for admission to the Regensburg International Graduate School of Life Sciences must fulfil one of the following formal criteria:
""Diploma"" or Master of Science degree from a university
	Master‘s degree in biology, biochemistry, biophysics, biotechnology, bioinformatics or another biological core subject of biological sciences conferred by a university of applied sciences within Germany
	Successful completion of medical school

The final grade of the degree must be equal or better than 2.0. If the minimum grade is not achieved, you will be required to pass a PhD qualification exam.",Working knowledge of English is required.,"University of Regensburg
c/o Regensburg International Graduate School of Life Sciences (RIGeL)
Universitätsstraße 31
93053 Regensburg
Germany"
"Research Doctorate at the International Graduate School of Battery Chemistry, Characterisation, Analysis, Recycling and Application (BACCARA)",University of Münster,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7717/,A Master’s degree in chemistry or a related field,"Excellent command of the English language
	German language skills are not required, as we offer German courses as part of the programme.
",Please visit https://www.uni-muenster.de/Baccara/application/index.html.
"Research School ""Digital Health""",University of Potsdam,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10472/,"Documents to submit:
Supervision agreement
	Report of intent to pursue doctoral studies
	Copies of university transcripts
	Curriculum vitae in tabular form

Please find all details on this site: https://hpi.de/en/research/doctorate-at-hpi/application-for-a-doctorate/.","Even though no specific language certificate is required, we expect you to have a decent level of English language skills in order to be able to conduct your research and communicate with supervisors, fellow students, and project partners.",Please find all details on this site: https://hpi.de/en/research/doctorate-at-hpi/application-for-a-doctorate/.
"Research School ""Foundations of AI""",University of Potsdam,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10463/,"Documents to submit:
Supervision agreement
	Report of intent to pursue doctoral studies
	Copies of university transcripts
	Curriculum vitae in tabular form

Please find all details on this site: https://hpi.de/en/research/doctorate-at-hpi/application-for-a-doctorate/.","Even though no specific language certificate is required, we expect you to have a decent level of English language skills in order to be able to conduct your research and communicate with supervisors, fellow students, and project partners.","Application information for a doctorate
Please e-mail any questions and your application for the Research School ""Foundations of AI"" to office-promotionsausschuss@hpi.de."
"Research School ""Information and Data Engineering""",University of Potsdam,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7662/,"Documents to submit:
Supervision agreement
	Report of intent to pursue doctoral studies
	Copies of university transcripts
	Curriculum vitae in tabular form

Please find all details on this site: https://hpi.de/en/research/doctorate-at-hpi/application-for-a-doctorate/.","Even though no specific language certificate is required, we expect you to have a decent level of English language skills in order to be able to conduct your research and communicate with supervisors, fellow students, and project partners.","Upon receipt of your complete application materials, the Dean’s Office in charge will review your application. If the admission decision is positive, you will receive the confirmed ""Declaration of Intent to Undertake Doctoral Studies"" and can apply for enrolment via the university's admissions portal.
Please visit our website for all current information about the application process to become a HPI PhD student."
"Research School ""Secure Distributed Computing (SeDiC)""",University of Potsdam,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10461/,"Documents to submit:
Supervision agreement
	Report of intent to pursue doctoral studies
	Copies of university transcripts
	Curriculum vitae in tabular form

Please find all details on this site: https://hpi.de/en/research/doctorate-at-hpi/application-for-a-doctorate/.","Even though no specific language certificate is required, we expect you to have a decent level of English language skills in order to be able to conduct your research and communicate with supervisors, fellow students, and project partners.","Upon receipt of your complete application materials, the dean’s office in charge will review your application. If the admission decision is positive, you will receive the confirmed ""Declaration of Intent to Undertake Doctoral Studies"" and can apply for enrolment via the university's admissions portal."
"Research School ""Systems Design""",University of Potsdam,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7619/,"Documents to submit:
Supervision agreement
	Report of intent to pursue doctoral studies
	Copies of university transcripts
	Curriculum vitae in tabular form

Please find all details on this site: https://hpi.de/en/research/doctorate-at-hpi/application-for-a-doctorate/.","Even though no specific language certificate is required, we expect you to have a decent level of English language skills in order to be able to conduct your research and communicate with supervisors, fellow students, and project partners.","Upon receipt of your complete application materials, the Dean’s Office in charge will review your application. If the admission decision is positive, you will receive the confirmed ""Declaration of Intent to Undertake Doctoral Studies"" and can apply for enrolment via the university's admissions portal."
Research School for Advanced Photon Science (RS-APS),Friedrich Schiller University Jena,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8450/,The programme is open to students who hold an excellent Master's degree (or equivalent) in physics or a closely related subject.,Applicants must provide proof of adequate proficiency in English (exception: native speakers).,No specific deadline
